"t=12,b=0","t=12,b=0.25","t=12,b=0.5","t=12,b=0.75","t=12,b=1","t=12,Recommend"
4.444681741,0.838795141,0.727148787,0.64077237,0.529667429,0.7937
4.569552649,0.282655829,0.252737896,0.217801511,0.162146482,0.2755
4.569695042,0.132199052,0.112965181,0.086472545,0.03550071,0.1314
4.534326607,0.106981171,0.091135552,0.064620513,0.01761906,0.0822
0.047958497,0.041401037,0.083448086,0.17428103,0.75030711,0.03456
0.00761014,0.004336525,0.011765289,0.03252991,0.309141735,0.0057
0.005157029,0.002672649,0.00500454,0.011385752,0.079182527,0.00287
0.000420555,9.09E-05,0.000250645,0.000390014,0.005856894,0
0.196114555,0.069360875,0.107686379,0.195640109,0.767962691,0.061016667
0.159928562,0.013758386,0.020189886,0.03978996,0.314546617,0.014883333
0.157480197,0.007079284,0.008770046,0.01426817,0.080365884,0.00725
0.151564775,0.003656939,0.003288497,0.002544031,0.006444196,0.00274
1.373235645,1.015458739,1.021093697,1.044115141,1.319899711,0.9472
1.289269938,0.883236788,0.885037813,0.887226224,1.014626568,0.822
1.21022224,0.804240377,0.802998307,0.80678773,0.881471716,0.7533
1.167281106,0.756826867,0.754943516,0.757744105,0.802982494,0.7125
0.233552116,0.489278123,0.497762629,0.505830572,0.517241618,0.486451653
0.23445623,0.63065417,0.642985788,0.658785213,0.68092875,0.626798738
0.228986278,0.696403605,0.704689758,0.712056327,0.703281638,0.681062069
0.229908929,0.710316038,0.715691727,0.720676787,0.666872925,0.69183904
182.6344799,177.8252403,177.8295592,175.4589595,213.537601,172.09
165.003481,158.7978009,158.2286408,158.8323607,178.8706787,156.02
172.3874392,152.3588405,153.3362404,155.1592799,167.2682396,151.05
183.9412798,155.3893204,154.8385203,157.2825602,173.61,157